127.0.0.1 - - [18/Sep/2022:03:32:42 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:32:47 +0900] "GET /Cinema/movie/home HTTP/1.1" 200 10593
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:32:47 +0900] "GET /Cinema/upload/gongjo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:32:47 +0900] "GET /Cinema/upload/hansan.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:32:47 +0900] "GET /Cinema/upload/topgun.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:32:47 +0900] "GET /Cinema/upload/645.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:32:47 +0900] "GET /Cinema/upload/hunt.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:32:48 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:32:53 +0900] "GET /Cinema/user/login HTTP/1.1" 200 3149
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:32:53 +0900] "GET /Cinema/js/googleLogin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:32:53 +0900] "GET /Cinema/js/naverLogin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:32:53 +0900] "GET /Cinema/js/kakaoLogin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:32:54 +0900] "POST /Cinema/user/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:32:54 +0900] "GET /Cinema/movie/home HTTP/1.1" 200 11193
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:32:57 +0900] "GET /Cinema/userinfo/main HTTP/1.1" 200 16329
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:32:57 +0900] "GET /Cinema/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:32:57 +0900] "GET /Cinema/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:32:57 +0900] "GET /Cinema/myservice/list?id=1&page=0&_=1663439577300 HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:32:57 +0900] "GET /Cinema/myreserve/list?id=1&page=0&_=1663439577299 HTTP/1.1" 200 7679
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:33:37 +0900] "GET /Cinema/myservice/list?id=1&page=1&_=1663439577301 HTTP/1.1" 200 2448
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:33:37 +0900] "GET /Cinema/myservice/list?id=1&page=2&_=1663439577302 HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:33:38 +0900] "GET /Cinema/myservice/list?id=1&page=3&_=1663439577303 HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:33:45 +0900] "GET /Cinema/userinfo/modify HTTP/1.1" 200 3882
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:33:45 +0900] "GET /Cinema/css/modifystyle.css HTTP/1.1" 200 4690
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:33:45 +0900] "GET /Cinema/css/roboto-font.css HTTP/1.1" 200 1935
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:33:45 +0900] "GET /Cinema/fonts/font-awesome-5/css/fontawesome-all.min.css HTTP/1.1" 200 35363
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:33:45 +0900] "GET /Cinema/js/modify.js HTTP/1.1" 200 8136
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:33:45 +0900] "GET /Cinema/fonts/Roboto/Roboto-Medium.ttf HTTP/1.1" 200 172064
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:33:45 +0900] "GET /Cinema/fonts/Roboto/Roboto-Regular.ttf HTTP/1.1" 200 171676
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:33:51 +0900] "GET /Cinema/userinfo/resdetail?id=29 HTTP/1.1" 200 12970
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:33:51 +0900] "GET /Cinema/js/jquery.min.js HTTP/1.1" 200 93637
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:33:51 +0900] "GET /Cinema/css/resdetail2.css HTTP/1.1" 200 171533
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:33:51 +0900] "GET /Cinema/css/resdetail.css HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:33:51 +0900] "GET /Cinema/js/qrcode.js HTTP/1.1" 200 33168
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:33:51 +0900] "GET /Cinema/upload/gongjo.jpg HTTP/1.1" 200 101005
0:0:0:0:0:0:0:1 - - [18/Sep/2022:03:34:01 +0900] "GET /Cinema/userinfo/reserve HTTP/1.1" 200 10860
